AAPL,MSFT,JPM
197.4900055,438.1700134,253.4700012
198.5299988,438.730011,253.0800018
210.7899933,449.2600098,260.0499878
212.9299927,449.1400146,263.0100098
212.3300018,452.9400024,265.6400146
211.4499969,453.1300049,267.4899902
211.2599945,454.269989,267.5599976
208.7799988,458.8699951,264.8800049
206.8600006,458.1700134,265.6799927
202.0899963,452.5700073,261.0400085
201.3600006,454.8599854,260.6700134
195.2700043,450.1799927,260.7099915
200.2100067,460.6900024,265.2900085
200.4199982,457.3599854,263.4899902
199.9499969,458.6799927,264.3699951
200.8500061,460.3599854,264
201.6999969,461.9700012,264.6600037
203.2700043,462.9700012,266.269989
202.8200073,463.8699951,264.2200012
200.6300049,467.6799927,261.9500122
203.9199982,470.3800049,265.730011
201.4499969,472.75,266.7399902
202.6699982,470.9200134,268.6000061
198.7799988,472.6199951,268.1499939
199.1999969,478.8699951,268.2399902
196.4499969,474.9599915,264.9500122
198.4199982,479.1400146,270.3599854
195.6399994,478.0400085,269.519989
196.5800018,480.2399902,273.9599915
201,477.3999939,275
201.5,486,278.269989
200.3000031,490.1099854,281.2600098
201.5599976,492.269989,284.0599976
201,497.4500122,288.75
201.0800018,495.9400024,287.1099854
205.1699982,497.4100037,289.9100037
207.8200073,492.0499878,290.4100037
212.4400024,491.0899963,292
213.5500031,498.8399963,296
209.9499969,497.7200012,291.9700012
210.0099945,496.6199951,282.7799988
211.1399994,503.5100098,283.1600037
212.4100037,501.480011,288.1900024
211.1600037,503.3200073,286.8599854
208.6199951,503.019989,288.7000122
209.1100006,505.8200073,286.5499878
210.1600037,505.6199951,285.8200073
210.0200043,511.7000122,289.8999939
211.1799927,510.0499878,291.269989
212.4799957,510.0599976,290.9700012
214.3999939,505.269989,291.4299927
214.1499939,505.8699951,296.7600098
213.7599945,510.8800049,296.5499878
213.8800049,513.710022,298.6199951
214.0500031,512.5,298.2799988
211.2700043,512.5700073,297.0400085
209.0500031,513.2399902,299.6300049
207.5700073,533.5,296.2399902
202.3800049,524.1099854,289.3699951
203.3500061,535.6400146,294.2600098
202.9199982,527.75,291.3699951
213.25,524.9400024,291.3500061
220.0299988,520.8400269,286.9400024
229.3500061,522.039978,288.7600098
227.1799927,521.7700195,289.5599976
229.6499939,529.2399902,292.8500061
233.3300018,520.5800171,290.5299988
232.7799988,522.4799805,294.1600037
231.5899963,520.1699829,290.4899902
